Pet Time(cs) DMG_Dealt Fanfare Total_DMG_dealt HP Max_HP
3 0 17990.6 14.4 17990.6 36044 37390
1 0 2664.9 20.8 20655.5 35445.7 37390
2 0 4952.53 30.4 25608 34548.4 37390
1 156 7290.02 36.8 32898 33950.1 37390
1 312 2739.7 43.2 35637.7 33351.9 37390
2 330 13651.5 52.8 49289.2 32454.5 37390
1 466 2793.14 59.2 52082.4 31856.3 37390
3 504 19349.7 73.6 71432.1 30510.2 37390
1 620 2862.6 80 74294.7 29912 37390
2 659 14259.2 89.6 88553.9 29014.6 37390
1 773 2916.03 96 91469.9 28416.4 37390
1 933 7877.52 102.4 99347.4 27818.2 37390
2 995 14629 112 113976 26920.8 37390
3 1002 7667.22 126.4 121644 25574.8 37390
1 1091 8149.78 132.8 129793 24976.5 37390
1 1248 8207.1 139.2 138001 24378.3 37390
2 1333 15236.6 148.8 153237 23480.9 37390
1 1400 3113.73 155.2 156351 22882.7 37390
3 1505 21553.8 169.6 177905 21536.6 37390
1 1554 8536.67 176 186441 20938.4 37390
2 1661 15844.2 185.6 202286 20041 37390
1 1712 8679.96 192 210965 19442.8 37390
1 1868 7017.76 6.4 217983 18844.6 37390
2 1994 12938.3 9.6 230922 17947.2 37390
3 2000 12850.4 0 243772 17947.2 37390
